Model_Type,Dataset,Mutable_Layers,Mutation_Level,Mutate_time,Number_of_Mutants,ParHAC_Threshold,Number_of_Clusters,Max_Cluster_Sz,Min_Cluster_Sz,Mean_Cluster_Sz,Cluster_time,Mutation_Score,MS_time,Total_time
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.663303137,759,0.3,269,344,1,2.821561338,7.058880091,0.385010379,208.1697929,813.0110343
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.669462442,759,0.3,283,335,1,2.681978799,7.03516531,0.332076915,223.6444247,816.2958438
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.664282084,759,0.3,281,336,1,2.701067616,6.964226246,0.701354747,225.0084965,811.7062554
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.662332058,759,0.3,276,337,1,2.75,6.946786404,0.698951164,211.1454084,811.81953
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.642650127,759,0.3,265,346,1,2.864150943,6.616663456,0.690702502,217.858726,800.5445383
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.674570799,759,0.35,362,308,1,2.096685083,6.960482359,0.410138752,301.364902,817.660296
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.6568501,759,0.35,366,298,1,2.073770492,6.860163212,0.435048618,302.5923417,810.3898258
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.669898272,759,0.35,369,304,1,2.056910569,7.002259016,0.814050038,308.2424223,818.0059464
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.683701038,759,0.35,369,297,1,2.056910569,6.891090393,0.819512728,299.2551649,823.8738019
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.66531992,759,0.35,366,309,1,2.073770492,6.847806692,0.696165192,310.0216262,812.9517312
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.671485901,759,0.35,373,306,1,2.034852547,6.988000631,0.804654212,297.3811314,822.1687315
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.670680046,759,0.4,462,236,1,1.642857143,6.942962408,0.727794166,409.9745872,823.3416684
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.658906937,759,0.4,463,228,1,1.639308855,6.8948946,0.750464329,404.7519662,812.0407343
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.663609982,759,0.4,470,220,1,1.614893617,6.989523888,0.487599694,415.8336003,815.1940587
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.947622538,759,0.4,468,225,1,1.621794872,6.431637764,0.425598165,416.1419625,1130.362033
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.662022114,759,0.4,473,217,1,1.604651163,6.875403404,0.712389381,424.634186,806.8325715
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,2.180313587,759,0.4,467,220,1,1.625267666,6.468139887,0.69813176,424.0353909,2483.851834
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.677448511,759,0.45,524,169,1,1.448473282,6.857924223,0.692887578,476.9308579,823.2260599
